WL	Irradiance uW/cm^2/nm
250	1.653000E-02
260	2.955000E-02
270	4.934000E-02
280	7.817000E-02
290	1.184000E-01
300	1.727000E-01
310	2.435000E-01
320	3.354000E-01
330	4.467000E-01
340	5.895000E-01
350	7.589000E-01
360	9.567000E-01
370	1.189000E+00
380	1.453000E+00
390	1.753000E+00
400	2.087000E+00
410	2.456836E+00
420	2.860782E+00
430	3.297109E+00
440	3.764091E+00
450	4.260000E+00
460	4.787373E+00
470	5.339152E+00
480	5.912545E+00
490	6.504759E+00
500	7.113000E+00
510	7.734173E+00
520	8.365843E+00
530	9.005285E+00
540	9.649772E+00
550	1.029658E+01
560	1.094187E+01
570	1.158335E+01
580	1.221998E+01
590	1.284959E+01
600	1.347000E+01
610	1.407719E+01
620	1.467116E+01
630	1.525016E+01
640	1.581250E+01
650	1.635644E+01
660	1.687727E+01
670	1.737478E+01
680	1.785130E+01
690	1.830648E+01
700	1.874000E+01
710	1.914639E+01
720	1.952995E+01
730	1.989094E+01
740	2.022966E+01
750	2.054639E+01
760	2.084141E+01
770	2.111499E+01
780	2.136743E+01
790	2.159901E+01
800	2.181000E+01
810	2.199701E+01
820	2.216422E+01
830	2.231214E+01
840	2.244128E+01
850	2.255214E+01
860	2.264523E+01
870	2.272106E+01
880	2.278013E+01
890	2.282294E+01
900	2.285000E+01
910	2.285889E+01
920	2.285296E+01
930	2.283284E+01
940	2.279915E+01
950	2.275250E+01
960	2.269352E+01
970	2.262283E+01
980	2.254104E+01
990	2.244878E+01
1000	2.234667E+01
1010	2.223532E+01
1020	2.211536E+01
1030	2.198741E+01
1040	2.185208E+01
1050	2.171000E+01
1060	2.156179E+01
1070	2.140806E+01
1080	2.124944E+01
1090	2.108655E+01
1100	2.092000E+01
