WL	Irradiance uW/cm^2/nm
250	1.955000E-02
260	3.472000E-02
270	5.790000E-02
280	9.103000E-02
290	1.373000E-01
300	1.989000E-01
310	2.791000E-01
320	3.821000E-01
330	5.094000E-01
340	6.667000E-01
350	8.548000E-01
360	1.073000E+00
370	1.329000E+00
380	1.619000E+00
390	1.947000E+00
400	2.308000E+00
410	2.707687E+00
420	3.143796E+00
430	3.614062E+00
440	4.116218E+00
450	4.648000E+00
460	5.209567E+00
470	5.795622E+00
480	6.403294E+00
490	7.029710E+00
500	7.672000E+00
510	8.327938E+00
520	8.993886E+00
530	9.666828E+00
540	1.034375E+01
550	1.102164E+01
560	1.169590E+01
570	1.236410E+01
580	1.302567E+01
590	1.367838E+01
600	1.432000E+01
610	1.494593E+01
620	1.555671E+01
630	1.615069E+01
640	1.672624E+01
650	1.728169E+01
660	1.781244E+01
670	1.831833E+01
680	1.880174E+01
690	1.926238E+01
700	1.970000E+01
710	2.010882E+01
720	2.049354E+01
730	2.085452E+01
740	2.119218E+01
750	2.150689E+01
760	2.179906E+01
770	2.206906E+01
780	2.231729E+01
790	2.254414E+01
800	2.275000E+01
810	2.293327E+01
820	2.309645E+01
830	2.324006E+01
840	2.336459E+01
850	2.347057E+01
860	2.355851E+01
870	2.362890E+01
880	2.368228E+01
890	2.371914E+01
900	2.374000E+01
910	2.374246E+01
920	2.372987E+01
930	2.370285E+01
940	2.366202E+01
950	2.360800E+01
960	2.354142E+01
970	2.346291E+01
980	2.337309E+01
990	2.327258E+01
1000	2.316200E+01
1010	2.304198E+01
1020	2.291315E+01
1030	2.277613E+01
1040	2.263154E+01
1050	2.248000E+01
1060	2.232214E+01
1070	2.215859E+01
1080	2.198997E+01
1090	2.181690E+01
1100	2.164000E+01
