WL	Irradiance uW/cm^2/nm
250	1.832000E-02
260	3.288000E-02
270	5.515000E-02
280	8.720000E-02
290	1.318000E-01
300	1.913000E-01
310	2.690000E-01
320	3.688000E-01
330	4.926000E-01
340	6.460000E-01
350	8.298000E-01
360	1.044000E+00
370	1.294000E+00
380	1.579000E+00
390	1.899000E+00
400	2.252000E+00
410	2.644371E+00
420	3.073735E+00
430	3.537713E+00
440	4.033927E+00
450	4.560000E+00
460	5.115381E+00
470	5.695407E+00
480	6.297242E+00
490	6.918052E+00
500	7.555000E+00
510	8.205987E+00
520	8.867306E+00
530	9.535960E+00
540	1.020895E+01
550	1.088327E+01
560	1.155437E+01
570	1.221983E+01
580	1.287907E+01
590	1.352986E+01
600	1.417000E+01
610	1.479494E+01
620	1.540517E+01
630	1.599906E+01
640	1.657494E+01
650	1.713118E+01
660	1.766317E+01
670	1.817075E+01
680	1.865627E+01
690	1.911944E+01
700	1.956000E+01
710	1.997269E+01
720	2.036170E+01
730	2.072737E+01
740	2.107000E+01
750	2.138993E+01
760	2.168745E+01
770	2.196291E+01
780	2.221660E+01
790	2.244886E+01
800	2.266000E+01
810	2.284760E+01
820	2.301489E+01
830	2.316235E+01
840	2.329046E+01
850	2.339971E+01
860	2.349059E+01
870	2.356357E+01
880	2.361914E+01
890	2.365779E+01
900	2.368000E+01
910	2.367847E+01
920	2.366126E+01
930	2.362918E+01
940	2.358299E+01
950	2.352350E+01
960	2.345149E+01
970	2.336774E+01
980	2.327306E+01
990	2.316821E+01
1000	2.305400E+01
1010	2.293121E+01
1020	2.280062E+01
1030	2.266304E+01
1040	2.251923E+01
1050	2.237000E+01
1060	2.221613E+01
1070	2.205840E+01
1080	2.189762E+01
1090	2.173455E+01
1100	2.157000E+01
